Stage,ChangeList 1,ChangeList 2,ChangeList 3,Changelist Avg, ,Hashlite 1,Hashlite 2,Hashlite 3,Hashlite Avg, ,,
0,0.001,0.001,0.001,0.001, ,0.101,0.137,0.118,0.118666667, ,,
1,0,0,0,0,Sum,0.189,0.197,0.193,0.193, ,,
2,0.002,0.001,0.001,0.001333333,16.74933333,0.001,0,0.001,0.000666667,9.381666667,7.367666667,       
3,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
4,0.002,0.001,0.001,0.001333333, ,0.001,0.001,0,0.000666667, ,,
5,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
6,0.002,0.001,0.001,0.001333333, ,0,0,0,0, ,,
7,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
8,0.002,0.001,0.001,0.001333333, ,0.002,0,0,0.000666667, ,,
9,0.001,0.001,0.001,0.001, ,0.001,0,0.001,0.000666667, ,,
10,0.002,0.001,0.002,0.001666667, ,0,0,0,0, ,,
11,0.003,0.001,0.001,0.001666667, ,0.001,0,0,0.000333333, ,,
12,0.002,0.001,0.001,0.001333333, ,0,0,0,0, ,,
13,0.001,0.001,0.001,0.001, ,0,0.001,0,0.000333333, ,,
14,0.003,0.001,0.001,0.001666667, ,0.001,0,0,0.000333333, ,,
15,0.001,0.001,0.001,0.001, ,0,0,0.001,0.000333333, ,,
16,0.002,0.001,0.001,0.001333333, ,0,0,0,0, ,,
17,0.001,0.001,0.001,0.001, ,0.001,0,0,0.000333333, ,,
18,0.002,0.001,0.001,0.001333333, ,0,0,0,0, ,,
19,0,0.001,0.001,0.000666667, ,0,0,0,0, ,,
20,0.002,0.001,0.001,0.001333333, ,0.001,0,0,0.000333333, ,,
21,0.001,0.001,0.002,0.001333333, ,0,0.001,0.001,0.000666667, ,,
22,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
23,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
24,0.001,0.007,0.001,0.003, ,0,0,0,0, ,,
25,0.001,0.001,0.001,0.001, ,0.001,0,0,0.000333333, ,,
26,0.002,0.001,0.001,0.001333333, ,0,0,0,0, ,,
27,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
28,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
29,0.001,0.002,0.001,0.001333333, ,0,0,0.001,0.000333333, ,,
30,0.001,0.001,0.001,0.001, ,0,0.001,0,0.000333333, ,,
31,0.002,0.001,0.001,0.001333333, ,0.001,0,0,0.000333333, ,,
32,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
33,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
34,0.002,0.001,0.001,0.001333333, ,0,0,0,0, ,,
35,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
36,0.001,0.001,0.001,0.001, ,0,0,0.001,0.000333333, ,,
